Mutant,test0,test1,Total,Equiv?
COI_3,1, ,1, 
COI_2,1, ,1, 
LOI_5,1, ,1, 
LOI_6,1,1,2, 
AOIS_52, , ,0, 
LOI_8,1, ,1, 
AOIS_51, , ,0, 
LOI_1,1, ,1, 
AOIS_50,1, ,1, 
LOI_2,1, ,1, 
LOI_3,1, ,1, 
LOI_4,1, ,1, 
COI_1,1, ,1, 
AOIS_49,1, ,1, 
AOIS_48,1,1,2, 
AOIS_47,1, ,1, 
AOIS_46,1, ,1, 
AOIS_45,1, ,1, 
AOIS_44,1, ,1, 
AOIS_43,1, ,1, 
AOIS_42,1,1,2, 
AOIS_41,1, ,1, 
AOIS_40,1, ,1, 
CDL_2, , ,0, 
LOI_9,1, ,1, 
AOIS_39, , ,0, 
AOIS_38,1, ,1, 
SDL_14,1, ,1, 
AOIS_37,1, ,1, 
AOIS_36,1, ,1, 
AOIS_35,1, ,1, 
AOIS_34,1, ,1, 
SDL_10,1, ,1, 
AOIS_33,1, ,1, 
AOIS_32,1,1,2, 
VDL_3,1, ,1, 
AOIS_31,1, ,1, 
VDL_2,1,1,2, 
AOIS_30,1, ,1, 
SDL_15,1, ,1, 
SDL_16,1, ,1, 
VDL_5,1,1,2, 
AOIS_29,1, ,1, 
AOIS_28,1, ,1, 
AOIS_27, , ,0, 
AOIS_26,1, ,1, 
ROR_21,1, ,1, 
AOIS_25, , ,0, 
ROR_20,1, ,1, 
AOIS_24,1, ,1, 
AOIS_23, , ,0, 
AOIU_3,1, ,1, 
AOIS_22,1, ,1, 
AOIU_4,1, ,1, 
AOIS_21, , ,0, 
AOIU_1,1, ,1, 
AOIS_20, , ,0, 
AOIU_2,1, ,1, 
AOIU_9,1, ,1, 
AOIU_7,1, ,1, 
ODL_5,1, ,1, 
AOIU_8,1, ,1, 
ODL_4, , ,0, 
AOIU_5,1, ,1, 
AOIU_6,1, ,1, 
AORB_3,1, ,1, 
AORB_4,1, ,1, 
AORB_1, , ,0, 
AORB_2, , ,0, 
AOIS_19, , ,0, 
ROR_2,1, ,1, 
AOIS_18,1, ,1, 
ROR_3, , ,0, 
ROR_13,1, ,1, 
AOIS_17,1, ,1, 
ROR_16,1, ,1, 
ROR_4, , ,0, 
AOIS_16, , ,0, 
ROR_5,1, ,1, 
ROR_15, , ,0, 
AOIS_15, , ,0, 
ROR_10,1, ,1, 
AOIS_14,1, ,1, 
AOIS_13,1, ,1, 
ROR_8,1, ,1, 
ROR_12,1, ,1, 
AOIS_12, , ,0, 
ROR_9,1, ,1, 
ROR_11,1, ,1, 
AORS_2,1, ,1, 
AOIS_11, , ,0, 
AOIS_10,1, ,1, 
AORS_1,1, ,1, 
ROR_1,1, ,1, 
ROR_18,1, ,1, 
ROR_17, , ,0, 
ROR_19,1, ,1, 
SDL_5,1, ,1, 
SDL_4,1, ,1, 
SDL_7,1, ,1, 
SDL_6,1, ,1, 
SDL_1,1, ,1, 
SDL_3,1, ,1, 
SDL_2,1, ,1, 
AOIU_10,1, ,1, 
AOIU_11,1, ,1, 
AOIU_12,1, ,1, 
AOIU_13,1, ,1, 
AOIS_5,1, ,1, 
AOIS_6,1, ,1, 
AOIS_3, , ,0, 
AOIS_4,1, ,1, 
AOIS_1,1, ,1, 
AOIS_2,1, ,1, 
LOI_14,1, ,1, 
LOI_15,1, ,1, 
LOI_16,1, ,1, 
LOI_17,1, ,1, 
AOIS_9,1, ,1, 
LOI_11,1, ,1, 
AOIS_7, , ,0, 
LOI_12,1, ,1, 
AOIS_8,1, ,1, 
LOI_13,1, ,1, 
