Mutant,test05,test04,test03,test14,test02,test13,test01,test12,test00,test11,test10,test09,test08,test07,test06,Total,Equiv?
COI_7, , , , ,1,1, , ,1, , , , ,1,1,5, 
COI_6,1,1,1, ,1, ,1, , ,1,1,1,1,1,1,11, 
COI_8,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,14, 
COI_3, , , , , , , , , , , , , ,1,1,2, 
COI_2,1,1,1, , , ,1, , ,1,1,1,1,1,1,10, 
COI_5,1,1,1, ,1, ,1, , ,1,1,1,1,1,1,11, 
COI_4,1,1,1, , , ,1, , ,1,1,1,1,1,1,10, 
LOI_5, ,1,1, , , , , , ,1, , , ,1,1,5, 
LOI_6, , , , , , , , , , , , , , , ,0, 
LOI_7, , , , ,1, , , , , , , , ,1,1,3, 
LOI_8, , , , ,1, , , ,1, , , , ,1,1,4, 
LOI_1,1,1,1, ,1, , ,1, ,1,1,1,1,1,1,11, 
LOI_2,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,14, 
LOI_3,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,14, 
LOI_4, , , , ,1, , , , , , , , , , ,1, 
COI_1,1,1,1, ,1, ,1, , ,1,1,1,1, , ,9, 
CDL_1, , , , , , , , , , , , , , , ,0, 
CDL_3, , , , , , , , , , , , , ,1,1,2, 
SDL_11, , , , , , , , , , ,1, , , , ,1, 
ROR_35, , , , ,1, , , , , , , , ,1,1,3, 
SDL_12, , , , , , , , , , ,1, , , , ,1, 
SDL_13, , , , , , , , , , , ,1, , , ,1, 
SDL_14, , , , , , , , , , , ,1, , , ,1, 
ROR_32, , , , ,1, , , , , , , , ,1,1,3, 
ROR_31, , , , ,1,1, , ,1, , , , ,1,1,5, 
ROR_34, , , , , ,1, , ,1, , , , , , ,2, 
ROR_33, , , , , ,1, , ,1, , , , , , ,2, 
SDL_10, , , , , , , , , ,1, , , , , ,1, 
COR_6,1,1,1, ,1,1,1, ,1,1,1,1,1,1,1,13, 
SDL_19, , , , , , , , , , , , , , ,1,1, 
VDL_4, , , , , , , , , , , , , ,1,1,2, 
AOIS_32, , , , , , , , , , , , , , , ,0, 
