Mutant,test2,test3,test0,test1,Total,Equiv?
COI_3, , ,1, ,1, 
COI_2, , ,1, ,1, 
COI_4, , ,1, ,1, 
LOI_6, , ,1, ,1, 
LOI_7, , , , ,0, 
AOIS_52, , , , ,0, 
LOI_8, , ,1, ,1, 
AOIS_51, , , , ,0, 
LOI_1,1, , ,1,2, 
AOIS_50, , , , ,0, 
LOI_2, , ,1, ,1, 
LOI_3,1, , ,1,2, 
LOI_4, , , , ,0, 
COI_1,1, ,1,1,3, 
AOIS_49, , ,1, ,1, 
AOIS_48, , , , ,0, 
AOIS_47, , , , ,0, 
AOIS_46, , ,1, ,1, 
AOIS_45, , ,1, ,1, 
AOIS_44,1,1,1,1,4, 
AOIS_43, , ,1, ,1, 
AOIS_42, , ,1, ,1, 
AOIS_41, , ,1, ,1, 
AOIS_40,1,1,1,1,4, 
CDL_3, , ,1, ,1, 
LOI_9, , ,1, ,1, 
SDL_11, , ,1, ,1, 
SDL_12, , , , ,0, 
AOIS_39, , ,1, ,1, 
SDL_13, , ,1, ,1, 
AOIS_38,1,1,1,1,4, 
VDL_9, , ,1, ,1, 
AOIS_37, , ,1, ,1, 
AOIS_36, , , , ,0, 
AOIS_35, , , , ,0, 
AOIS_34, , ,1, ,1, 
SDL_10, , ,1, ,1, 
AOIS_33, , ,1, ,1, 
VDL_4,1,1,1,1,4, 
AOIS_32, , , , ,0, 
AOIS_31, , , , ,0, 
AOIS_30, , ,1, ,1, 
SDL_15, , ,1, ,1, 
SDL_16, , , , ,0, 
VDL_7, , ,1, ,1, 
AODU_1, , ,1, ,1, 
ROR_25, , ,1, ,1, 
AOIS_29, , ,1, ,1, 
ROR_24, , ,1, ,1, 
AOIS_28, , ,1, ,1, 
AOIS_27, , ,1, ,1, 
ROR_26, , , , ,0, 
AOIS_26, , , , ,0, 
ROR_21, , ,1, ,1, 
AOIS_25, , , , ,0, 
ROR_20, , ,1, ,1, 
AOIS_24, , ,1, ,1, 
ROR_23, , ,1, ,1, 
AOIS_23, , ,1, ,1, 
ROR_22, , ,1, ,1, 
AOIU_3,1, , ,1,2, 
AOIS_22, , ,1, ,1, 
ODL_9, , ,1, ,1, 
AOIU_4, , , , ,0, 
AOIS_21, , ,1, ,1, 
AOIU_1,1, , ,1,2, 
AOIS_20,1,1,1,1,4, 
AOIU_2, , ,1, ,1, 
ODL_1,1, ,1,1,3, 
AOIU_9, , ,1, ,1, 
AOIU_7, , ,1, ,1, 
AOIU_8, , ,1, ,1, 
AOIU_5, , ,1, ,1, 
AOIU_6, , , , ,0, 
AORB_3, , ,1, ,1, 
AORB_4, , ,1, ,1, 
AORB_1, , ,1, ,1, 
AORB_2, , ,1, ,1, 
AOIS_19, , ,1, ,1, 
ROR_2,1, ,1,1,3, 
AOIS_18, , ,1, ,1, 
ROR_3,1, ,1, ,2, 
ROR_13, , , , ,0, 
AOIS_17, , ,1, ,1, 
ROR_16, , ,1, ,1, 
ROR_4,1, , , ,1, 
AOIS_16, , ,1, ,1, 
ROR_5, , ,1,1,2, 
ROR_15, , , , ,0, 
AOIS_15, , ,1, ,1, 
ROR_6, , ,1, ,1, 
ROR_10, , , , ,0, 
AOIS_14, , ,1, ,1, 
ROR_7,1, , ,1,2, 
AOIS_13, , ,1, ,1, 
ROR_8,1, ,1,1,3, 
ROR_12, , , , ,0, 
AOIS_12, , , , ,0, 
ROR_9, , ,1, ,1, 
ROR_11, , ,1, ,1, 
AORS_2, , ,1, ,1, 
AOIS_11, , , , ,0, 
AOIS_10,1, , ,1,2, 
AORS_1, , ,1, ,1, 
ROR_1, , ,1,1,2, 
ROR_18, , , , ,0, 
ROR_17, , ,1, ,1, 
ROR_19, , ,1, ,1, 
SDL_5, , ,1, ,1, 
SDL_4, , ,1, ,1, 
SDL_6, , ,1, ,1, 
SDL_3,1, , ,1,2, 
SDL_2,1, ,1,1,3, 
AOIU_10, , ,1, ,1, 
AOIU_11, , ,1, ,1, 
AOIU_12, , ,1, ,1, 
AOIU_13, , , , ,0, 
AOIS_5, , , ,1,1, 
AOIS_6, , , , ,0, 
AOIS_3,1, ,1,1,3, 
AOIS_4,1, ,1,1,3, 
AOIS_1,1, ,1,1,3, 
AOIS_2,1, ,1,1,3, 
LOI_14, , ,1, ,1, 
LOI_15, , ,1, ,1, 
LOI_16, , ,1, ,1, 
LOI_17, , , , ,0, 
AOIS_9,1, , ,1,2, 
LOI_10, , ,1, ,1, 
LOI_11, , ,1, ,1, 
AOIS_7, , , , ,0, 
LOI_12, , ,1, ,1, 
ODL_10, , ,1, ,1, 
AOIS_8, , , , ,0, 
