Mutant,test2,test3,test0,test1,Total,Equiv?
ROR_2, , ,1,1,2, 
AOIS_18, , , , ,0, 
ROR_3, , , , ,0, 
AOIS_17, , , , ,0, 
ROR_4, , , ,1,1, 
AOIS_16, , , , ,0, 
ROR_5, , ,1, ,1, 
AOIS_15, , , , ,0, 
ROR_6, , ,1, ,1, 
AOIS_14, , , ,1,1, 
ROR_7, , , ,1,1, 
AOIS_13, , , ,1,1, 
AOIS_12, , , , ,0, 
AOIS_11, , , , ,0, 
LOI_5,1, ,1,1,3, 
AOIS_10, , , , ,0, 
LOI_1,1, ,1, ,2, 
LOI_2, , , , ,0, 
LOI_3, , ,1,1,2, 
ROR_1, , ,1,1,2, 
LOI_4, , , ,1,1, 
COI_1, , ,1,1,2, 
SDL_5,1, ,1, ,2, 
SDL_4, , ,1, ,1, 
AOIU_3, , ,1,1,2, 
AOIS_5, , , ,1,1, 
AOIU_4, , , , ,0, 
AOIS_6,1, , ,1,2, 
AOIU_1,1, ,1, ,2, 
AOIS_3, , , , ,0, 
AOIU_2, , , , ,0, 
AOIS_4, , , , ,0, 
AOIS_1, , ,1, ,1, 
AOIS_2,1, ,1, ,2, 
AOIS_9, , , , ,0, 
AOIU_5,1, ,1, ,2, 
AOIS_7, , , ,1,1, 
AOIS_8, , , ,1,1, 
SDL_3, , , ,1,1, 
SDL_2, , , ,1,1, 
