Mutant,test0,test1,Total,Equiv?
VDL_10,1, ,1, 
COI_3,1, ,1, 
COI_2,1,1,2, 
COI_4,1, ,1, 
LOI_5,1, ,1, 
LOI_7,1, ,1, 
LOI_8,1, ,1, 
LOI_1,1,1,2, 
LOI_3,1, ,1, 
LOI_4,1,1,2, 
COI_1,1, ,1, 
CDL_2,1, ,1, 
LOI_9, , ,0, 
SDL_11,1, ,1, 
SDL_12, , ,0, 
SDL_13,1, ,1, 
SDL_14,1, ,1, 
AOIS_32, , ,0, 
VDL_3,1, ,1, 
AOIS_31, , ,0, 
VDL_2,1,1,2, 
AOIS_30, , ,0, 
SDL_15,1, ,1, 
VDL_8,1, ,1, 
VDL_7,1, ,1, 
VDL_6,1,1,2, 
ROR_25, , ,0, 
AOIS_29, , ,0, 
ROR_24,1, ,1, 
AOIS_28, , ,0, 
ROR_27,1, ,1, 
AOIS_27,1, ,1, 
ROR_26,1, ,1, 
AOIS_26,1, ,1, 
ROR_21,1, ,1, 
AOIS_25,1, ,1, 
ROR_20,1, ,1, 
AOIS_24,1,1,2, 
ROR_23,1, ,1, 
AOIS_23, , ,0, 
ROR_22, , ,0, 
AOIU_3,1, ,1, 
AOIS_22,1, ,1, 
ODL_9,1, ,1, 
AOIU_4,1, ,1, 
AOIS_21,1, ,1, 
AOIU_1,1,1,2, 
AOIS_20, , ,0, 
AOIU_2,1, ,1, 
AOIU_7, , ,0, 
ODL_5,1, ,1, 
AOIU_8,1, ,1, 
ODL_4, , ,0, 
AOIU_5,1, ,1, 
AOIU_6, , ,0, 
AORB_3,1, ,1, 
AORB_4,1, ,1, 
AORB_1, , ,0, 
AORB_2, , ,0, 
AORB_7,1, ,1, 
AORB_8,1, ,1, 
ROR_28,1, ,1, 
AORB_5,1, ,1, 
AORB_6,1, ,1, 
AOIS_19, , ,0, 
ROR_2,1, ,1, 
AOIS_18,1,1,2, 
ROR_3,1, ,1, 
ROR_13,1,1,2, 
AOIS_17,1, ,1, 
ROR_16,1, ,1, 
ROR_4,1, ,1, 
AOIS_16, , ,0, 
ROR_5,1, ,1, 
ROR_15,1, ,1, 
AOIS_15,1, ,1, 
ROR_10,1, ,1, 
AOIS_14,1, ,1, 
AOIS_13,1,1,2, 
ROR_8,1, ,1, 
ROR_12,1,1,2, 
AOIS_12,1, ,1, 
ROR_9,1,1,2, 
ROR_11, , ,0, 
AORS_2,1, ,1, 
AOIS_11, , ,0, 
AORS_3,1, ,1, 
AOIS_10,1, ,1, 
AORS_1,1,1,2, 
ROR_1,1, ,1, 
ROR_18, , ,0, 
ROR_17,1, ,1, 
ROR_19,1, ,1, 
SDL_5,1, ,1, 
SDL_4,1, ,1, 
SDL_8,1, ,1, 
SDL_1,1, ,1, 
SDL_3,1, ,1, 
AOIS_5,1, ,1, 
AOIS_6,1, ,1, 
AOIS_3,1, ,1, 
AOIS_4,1,1,2, 
AOIS_1,1, ,1, 
AOIS_2,1, ,1, 
AOIS_9,1, ,1, 
LOI_11,1, ,1, 
AOIS_7,1, ,1, 
LOI_12,1, ,1, 
ODL_10,1, ,1, 
AOIS_8,1,1,2, 
