Mutant,test02,test01,test00,Total,Equiv?
VDL_13, , ,1,1, 
VDL_10, , , ,0, 
VDL_11, , , ,0, 
VDL_16, ,1, ,1, 
VDL_14, , ,1,1, 
VDL_15, ,1, ,1, 
ODL_41, ,1, ,1, 
ODL_40, ,1, ,1, 
ODL_43, ,1, ,1, 
ODL_42, ,1, ,1, 
ODL_45, ,1, ,1, 
ODL_44, ,1, ,1, 
ODL_47, ,1, ,1, 
ODL_46, ,1, ,1, 
ODL_49, ,1, ,1, 
ODL_48, ,1, ,1, 
ODL_30, , ,1,1, 
ODL_32, , ,1,1, 
ODL_31, , ,1,1, 
ODL_34, ,1, ,1, 
ODL_33, ,1, ,1, 
ODL_36, ,1, ,1, 
ODL_35, ,1, ,1, 
ODL_38, ,1, ,1, 
ODL_37, ,1, ,1, 
ODL_39, ,1, ,1, 
ODL_61, , , ,0, 
ODL_60, , , ,0, 
ODL_63, , , ,0, 
ODL_62, , , ,0, 
ODL_64, , , ,0, 
ODL_67,1, , ,1, 
ODL_69,1, , ,1, 
ODL_68,1, , ,1, 
AOIU_3,1,1,1,3, 
AOIU_4, , , ,0, 
AOIU_1,1,1,1,3, 
AOIU_2, , , ,0, 
AORB_9,1, , ,1, 
AOIU_9, ,1, ,1, 
ODL_50, ,1, ,1, 
AOIU_7, ,1,1,2, 
AOIU_8, , , ,0, 
AOIU_5, ,1,1,2, 
ODL_54, , , ,0, 
AOIU_6,1, , ,1, 
ODL_53, , , ,0, 
AORB_3, , , ,0, 
AORB_4, , , ,0, 
AORB_1, , , ,0, 
ODL_58, , , ,0, 
AORB_2, , , ,0, 
ODL_57, , , ,0, 
AORB_7,1, , ,1, 
AORB_8,1, , ,1, 
ODL_59, , , ,0, 
AORB_5,1, , ,1, 
AORB_6,1, , ,1, 
AOIS_19, , , ,0, 
ROR_2,1,1,1,3, 
ROR_14, , , ,0, 
AOIS_18, , , ,0, 
ROR_3, , , ,0, 
ROR_13,1,1,1,3, 
AOIS_17, , , ,0, 
ROR_16,1,1,1,3, 
ROR_4, , , ,0, 
AOIS_16, , , ,0, 
ROR_5,1,1,1,3, 
ROR_15,1,1,1,3, 
AOIS_15, , , ,0, 
ROR_6,1,1,1,3, 
ROR_10, , , ,0, 
AOIS_14, , , ,0, 
ROR_7, , , ,0, 
AOIS_13, , , ,0, 
ROR_8,1,1,1,3, 
ROR_12,1,1,1,3, 
AOIS_12,1,1,1,3, 
ROR_9,1,1,1,3, 
ROR_11, , , ,0, 
AOIS_11,1,1,1,3, 
AOIS_10,1,1,1,3, 
ROR_1,1,1,1,3, 
ROR_18,1, , ,1, 
ROR_17, , , ,0, 
ROR_19, ,1,1,2, 
CDL_24, ,1, ,1, 
CDL_25, ,1, ,1, 
CDL_22, ,1, ,1, 
CDL_23, ,1, ,1, 
CDL_20, , ,1,1, 
CDL_21, ,1, ,1, 
CDL_28, ,1, ,1, 
CDL_29, ,1, ,1, 
CDL_26, ,1, ,1, 
CDL_27, ,1, ,1, 
ODL_21, , ,1,1, 
ODL_20, , ,1,1, 
ODL_23, , ,1,1, 
ODL_22, , ,1,1, 
ODL_25, , ,1,1, 
