Mutant,test4,test5,test2,test3,test8,test9,test6,test7,test0,test1,Total,Equiv?
LOI_5,1,1,1,1,1,1,1,1, ,1,9, 
LOI_6,1,1,1,1,1,1,1,1,1,1,10, 
LOI_7,1,1,1,1,1,1,1,1,1,1,10, 
LOI_1, , , , , , , , , , ,0, 
LOI_2,1,1,1,1,1,1,1,1,1,1,10, 
LOI_3,1,1,1,1,1,1,1,1, ,1,9, 
LOI_4,1,1,1,1,1,1,1,1,1,1,10, 
CDL_1,1,1,1,1,1,1,1,1,1,1,10, 
CDL_2,1,1,1,1,1,1,1,1,1,1,10, 
CDL_3,1,1,1,1,1,1,1,1,1,1,10, 
SDL_11, , , , , , , , , , ,0, 
SDL_12,1,1,1,1,1,1,1,1, ,1,9, 
SDL_13, , , , , , , , , , ,0, 
SDL_14, , , , , , , , , , ,0, 
SDL_10, , , , , , , , , , ,0, 
SDL_19, , , , , , , , , , ,0, 
VDL_4,1,1, , ,1,1, ,1,1,1,7, 
VDL_3, , , , , , , , , , ,0, 
VDL_2,1,1,1,1,1,1,1,1,1,1,10, 
VDL_1,1,1, , ,1,1, ,1,1,1,7, 
SDL_15, , , , , , , , , , ,0, 
SDL_16, , , , , , , , , , ,0, 
SDL_17, , , , , , , , , , ,0, 
SDL_18, , , , , , , , , , ,0, 
VDL_5,1,1,1,1,1,1,1,1, ,1,9, 
SDL_22, , , , , , , , , , ,0, 
AOIS_24, , , , , , , , , , ,0, 
SDL_20, , , , , , , , , , ,0, 
AOIS_23, , , , , , , , , , ,0, 
SDL_21,1,1,1,1,1,1,1,1, ,1,9, 
AOIU_3,1,1,1,1,1,1,1,1, ,1,9, 
AOIS_22,1,1,1,1,1,1,1,1,1,1,10, 
ODL_9,1,1, , ,1,1, ,1,1,1,7, 
AOIU_4,1,1,1,1,1,1,1,1, ,1,9, 
AOIS_21,1,1,1,1,1,1,1,1,1,1,10, 
ODL_8,1,1,1,1,1,1,1,1,1,1,10, 
AOIU_1, , , , , , , , , , ,0, 
AOIS_20, , , , , , , , , , ,0, 
AOIU_2,1,1,1,1,1,1,1,1, ,1,9, 
ODL_1,1,1, , ,1,1, ,1,1,1,7, 
AORB_9, , , , , , , , , , ,0, 
ODL_3,1,1,1,1,1,1,1,1,1,1,10, 
ODL_2,1,1,1,1,1,1,1,1,1,1,10, 
ODL_5, , , , , , , , , , ,0, 
ODL_4,1,1,1,1,1,1,1,1,1,1,10, 
ODL_7, , , , , , , , , , ,0, 
ODL_6,1,1,1,1,1,1,1,1,1,1,10, 
AORB_3,1,1,1,1,1,1,1,1,1,1,10, 
AORB_4,1,1, , ,1,1, ,1,1,1,7, 
AORB_1,1,1,1,1,1,1,1,1,1,1,10, 
AORB_2,1,1,1,1,1,1,1,1,1,1,10, 
AORB_7,1,1,1,1,1,1,1,1, ,1,9, 
AORB_8,1,1,1,1,1,1,1,1,1,1,10, 
AORB_5,1,1,1,1,1,1,1,1,1,1,10, 
AORB_6,1,1,1,1,1,1,1,1,1,1,10, 
AOIS_19, , , , , , , , , , ,0, 
AOIS_18,1,1,1,1,1,1,1,1,1,1,10, 
AOIS_17,1,1,1,1,1,1,1,1,1,1,10, 
AOIS_16, , , , , , , , , , ,0, 
AOIS_15, , , , , , , , , , ,0, 
AOIS_14,1,1,1,1,1,1,1,1, ,1,9, 
AOIS_13,1,1,1,1,1,1,1,1, ,1,9, 
AOIS_12, , , , , , , , , , ,0, 
AOIS_11, , , , , , , , , , ,0, 
AOIS_10,1,1,1,1,1,1,1,1,1,1,10, 
AORB_27, , , , , , , , ,1, ,1, 
SDL_5, , , , , , , , , , ,0, 
AORB_28,1,1,1,1,1,1,1,1, ,1,9, 
SDL_4, , , , , , , , , , ,0, 
AORB_25,1,1,1,1,1,1,1,1, ,1,9, 
SDL_7, , , , , , , , , , ,0, 
AORB_26,1,1,1,1,1,1,1,1,1,1,10, 
SDL_6, , , , , , , , , , ,0, 
AORB_23,1,1,1,1,1,1,1,1, ,1,9, 
SDL_9, , , , , , , , , , ,0, 
AORB_24,1,1,1,1,1,1,1,1,1,1,10, 
