Mutant,test16,test15,test14,test13,test12,test56,test11,test55,test10,test54,test53,test19,test18,test17,test52,test51,test50,test05,test49,test04,test48,test03,test47,test02,test46,test01,test45,test00,test44,test43,test42,test09,test08,test07,test06,test41,test40,test38,test37,test36,test35,test34,test33,test32,test31,test39,test30,test27,test26,test25,test24,test23,test22,test21,test20,test29,test28,Total,Equiv?
SDL_73,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57, 
VDL_18, ,1, , , , , , , , , ,1, , , ,1, , , , , , , ,1, , , , , , , , , ,1, , ,1, , , , , , , , ,1, , , , , , ,1,1, , , ,9, 
ODL_40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57, 
LOI_40, , , , , , ,1,1, , , , , , , , , , , , , , , ,1,1, , , , , , , , , , , ,1, , ,1, , , , , , , , , , , ,1, , , ,1, ,8, 
SDL_82, , , , , , , , , , , , , , , , , , , , , ,1, , ,1, , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3, 
LOI_42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_161, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_84, ,1, , , , , , ,1, , , , ,1, , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,5, 
LOI_29, ,1, , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , ,3, 
LOI_36, ,1,1, , , , ,1, , , ,1, , , ,1, , , , , ,1, ,1,1,1, , , , ,1, , ,1,1, ,1, , , , , , , , ,1, , , , , , ,1,1, , ,1,17, 
LOI_37,1, ,1, , , , ,1, ,1, , , , ,1,1,1, ,1,1, ,1,1,1,1, , , , , ,1, ,1, ,1,1,1, , ,1,1, , , , , , , , , , , , , , ,1,1,22, 
LOI_32, , , , ,1, , , , , ,1, , , ,1,1,1, ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , ,1, , , , ,8, 
LOI_33, , , , , , , , , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, 
LOI_34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,57, 
ODL_32,1,1,1,1,1, ,1,1,1,1,1, ,1, ,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,1, ,1,1, ,1,1,1,1,1,1,1, ,1,1,1,1, , , , ,1,1, ,1,1, ,43, 
ROR_159, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_35, ,1, , , , , , , , , , , , , ,1, , , , , ,1, ,1, ,1, , , , , , , , , , ,1, , , , , , , , ,1, , , , , , ,1,1, , , ,9, 
ODL_33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0, 
LOI_30, , , , , , , ,1, ,1, , , , , ,1, , , , , , ,1, ,1, , , , , ,1, , , , , ,1, , , , , , , , ,1, , , , , , , , , , , ,8, 
