Mutant,test05,test16,test04,test15,test03,test14,test02,test13,test01,test12,test00,test11,test10,test21,test20,test09,test08,test19,test07,test18,test06,test17,Total,Equiv?
VDL_12, ,1, , , , , , , , , , , , , , , , , , , , ,1, 
VDL_17, , , , ,1, , , , , , , , , , , , , , , , , ,1, 
VDL_14, , ,1, , , ,1, , , , , , , , , , , , , , , ,2, 
VDL_15, , ,1, ,1, , , , , , , , , , , , , , , , , ,2, 
VDL_18, , ,1, ,1, , , , , , , , , , , , , , , , , ,2, 
ODL_40, , , ,1, , , , , , , , , , , , , , , , , ,1,2, 
ODL_45, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_46, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_49, , , , , , , , ,1, , ,1, , , , , , , , , , ,2, 
VDL_20, , , , , , ,1, , , , , , , , , , , , , , , ,1, 
LOI_29, , , , , , , , , , , , , , , ,1, , , , , , ,1, 
LOI_32, , , , , , , , , , , , , , , , ,1, , , , , ,1, 
ODL_30, , , , ,1, , , , , , , , , , , , , , , , , ,1, 
LOI_33, , , , , , , , , , , , , , , , ,1, , , , , ,1, 
LOI_34, , , , , , , , , , , , , , , , ,1, , , , , ,1, 
LOI_35, , , , , , , , , ,1, , , , , , , , , , , , ,1, 
ODL_34, , , ,1, , , , , , , , , , , , , , , , , , ,1, 
ODL_33, , , , , , , , , , , , , , , , , , , , , ,1,1, 
LOI_30, , , , , , , , , , , , , , , ,1, , , , , , ,1, 
ODL_36, , , , , , ,1, , , , , , , , , , , , , , , ,1, 
LOI_31, , , , , , , , , , ,1, ,1, , , , , , , , , ,2, 
ODL_35, , , , , , ,1, , , , , , , , , , , , , , , ,1, 
ODL_39, , , , , ,1, , , , , , , , , , , , , , , , ,1, 
VDL_34, , , , , , , , , , , , , , , , , , , , , , ,0, 
VDL_33, , , , , , , , , , , , , , , , , , , , , , ,0, 
COR_6, , , , , , , , , , , , , , , , , , , , , , ,0, 
COR_5, , , ,1, , , , , , , , , , , , , , , , , ,1,2, 
COR_8, , , , , , , , , , , , , , , , , , , , , , ,0, 
COR_7, , , ,1, ,1, , , , , , , , , , , , , , , ,1,3, 
COR_2, , , , , , , , , , , , , , , , , , , , , , ,0, 
COR_1, , , , , , , , , , , , , , , , , , ,1, , , ,1, 
COR_4, , , , , , , , , , , , , , ,1, , , , , , , ,1, 
COR_3,1, , , , , , , , , , , , , , , , , ,1, , , ,2, 
ODL_61, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_62, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_65, , , , , , , , , ,1, , , , , , , , , , , , ,1, 
ODL_66, , , , , , , , ,1, ,1,1,1, , , , , , , , , ,4, 
VDL_21, , , , , , ,1, , , , , , , , , , , , , , , ,1, 
VDL_25, , , , , , , , , , , , , , , , , , , , , , ,0, 
VDL_26, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIU_3, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIU_4, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
AOIU_1, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
VDL_29, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIU_2, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
AORB_9, , , , , , , , , , , , , , , , ,1, , , , , ,1, 
AOIU_9, ,1, , , , , , , , , , , , , , , , , , , , ,1, 
ODL_50, , , , , , , , , ,1,1, ,1, , , , , , , , , ,3, 
AOIU_7, ,1, , , , , , , , , , , , , , ,1, , , , , ,2, 
AOIU_8, ,1, , , , , , , , , , , , , , ,1, , , , , ,2, 
COR_9, , , , , , , , ,1,1,1,1,1, , , , , , , , , ,5, 
AOIU_5, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
ODL_54, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIU_6, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_53, , , , , , , , , , , , , , , , , , , , , , ,0, 
AORB_3, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
AORB_4, , , , , , , ,1, , , , , , , , , , , , , , ,1, 
AORB_1, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ODL_58, , , , , , , , ,1,1, ,1, , , , , , , , , , ,3, 
AORB_2, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ODL_57, , , , , , , , , , ,1, ,1, , , , , , , , , ,2, 
AORB_7, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
VDL_30, , , , , , , , , , , , , , , , , , , , , , ,0, 
AORB_8, ,1, , , , , , , , , , , , , ,1, , , , , , ,2, 
AORB_5, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
AORB_6, ,1, , , , , , , , ,1, , , , ,1, , , , , , ,3, 
AOIS_19, ,1,1, ,1, ,1, ,1, , , , , , , ,1, , , , , ,6, 
ROR_2, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
ROR_14, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_18, ,1,1, ,1, ,1,1, , ,1, , , , , ,1, , , , , ,7, 
ROR_3, , , , , , , , , , , , , , , , , , ,1, , , ,1, 
ROR_13, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
AOIS_17, ,1,1, ,1, ,1,1,1, , , , , , , ,1, , , , , ,7, 
ROR_16, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
ROR_4, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_16, , ,1, ,1, ,1, , , , , , , , ,1, , , , , , ,4, 
ROR_5, ,1,1, ,1, ,1,1, , , , , , , ,1,1, ,1, , , ,8, 
ROR_15,1,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,8, 
AOIS_15, , , , , , ,1, ,1, ,1, , , , ,1, , , , , , ,4, 
ROR_6, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
ROR_10, , , , , , , , , , , , , , , , , , , , , , ,0, 
AOIS_14, ,1,1, ,1, ,1,1, , , , , , , ,1, , , , , , ,6, 
ROR_7, , , , , , , , , , , , , , , , , , ,1, , , ,1, 
SDL_30, , , , , , , , ,1,1,1,1,1, , , , , , , , , ,5, 
AOIS_13, ,1,1, , , ,1,1,1, ,1, , , , ,1, , , , , , ,7, 
ROR_8, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
ROR_12, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
SDL_31, , , , , , , , , , , , , , , , ,1, , , , , ,1, 
AOIS_12, ,1,1, ,1, ,1, ,1, , , , , , ,1,1, , , , , ,7, 
ROR_9, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
ROR_11, , , , , , , , , , , , , , , , , , , , , , ,0, 
SDL_32, , , , , , , , ,1,1,1,1,1, , , , , , , , , ,5, 
AOIS_11, ,1,1, ,1, ,1, , , ,1, , , , ,1,1, , , , , ,7, 
AOIS_10, ,1,1, ,1, ,1, ,1, , , , , , ,1,1, , , , , ,7, 
ROR_1, ,1,1, ,1, ,1,1, , , , , , , ,1,1, ,1, , , ,8, 
ROR_18, , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_17,1, , , , , , , , , , , , , , , , , , , , , ,1, 
ROR_19,1,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,8, 
ODL_21, ,1, , , , , , , , , , , , , , ,1, , , , , ,2, 
ODL_22, ,1, , , , , , , , , , , , , , , , , , , , ,1, 
ODL_25, , ,1, ,1, , , , , , , , , , , , , , , , , ,2, 
ODL_26, , ,1, , , ,1, , , , , , , , , , , , , , , ,2, 
ODL_29, , ,1, ,1, , , , , , , , , , , , , , , , , ,2, 
AOIS_5, ,1,1, ,1, ,1,1,1, , , , , , , ,1, , , , , ,7, 
AOIS_6, ,1,1, ,1, ,1,1, , ,1, , , , , ,1, , , , , ,7, 
AOIS_3, ,1,1, , , ,1,1,1, ,1, , , , ,1, , , , , , ,7, 
AOIS_4, ,1,1, ,1, ,1,1, , , , , , , ,1, , , , , , ,6, 
AOIS_1, ,1,1, , , ,1,1,1, ,1, , , , ,1, , ,1, , , ,8, 
AOIS_2, ,1,1, ,1, ,1,1, , , , , , , ,1, , , , , , ,6, 
AOIS_9,1,1,1, ,1, ,1, , , ,1, , , , ,1,1, , , , , ,8, 
AOIS_7, ,1,1, ,1, ,1,1,1, , , , , , , ,1, , , , , ,7, 
ODL_10, , , , , , , , , , , , , , , , , , ,1, , , ,1, 
AOIS_8, ,1,1, ,1, ,1,1, , ,1, , , , , ,1, , , , , ,7, 
ODL_14, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_13, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ODL_18, , , , , , , , , , , , , , , , , , , , , , ,0, 
ODL_17, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
ROR_58, , ,1, ,1, ,1, , , , , , , , , , , , , , ,1,4, 
ROR_57, , ,1, , , ,1, , , , , , , , , , , , , , ,1,3, 
ROR_59, , , , ,1, , , , , , , , , , , , , , , , , ,1, 
ROR_54, , , , ,1, ,1, , , , , , , , , , , , , , , ,2, 
ROR_53, , ,1,1, , , , , , , , , , , , , , , , , , ,2, 
ROR_56, , , ,1, , , , , , , , , , , , , , , , , , ,1, 
ROR_55, , ,1, ,1, ,1, , , , , , , , , , , , , , , ,3, 
ROR_50, , , ,1,1, ,1, , , , , , , , , , , , , , , ,3, 
LOI_5, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
LOI_6, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ROR_52, , ,1, , , , , , , , , , , , , , , , , , , ,1, 
LOI_7, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
ROR_51, , ,1,1,1, ,1, , , , , , , , , , , , , , , ,4, 
LOI_8, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
LOI_1, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
LOI_2, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
LOI_3, ,1,1, ,1, ,1,1, , , , , , , ,1,1, , , , , ,7, 
LOI_4, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ROR_47, ,1,1, ,1, ,1,1,1, ,1, , , , ,1,1, , , , , ,9, 
ROR_46, , , , , , , , , , , , , , , , , , , , , , ,0, 
ROR_49, , ,1, ,1, ,1, , , , , , , , , , , , , , , ,3, 
ROR_48, ,1, , , , , ,1,1, ,1, , , , ,1,1, , , , , ,6, 
ROR_43, ,1,1, ,1, ,1,1,1, ,1, , , , ,1,1, , , , , ,9, 
ROR_42, ,1, , , , , , , , , , , , , , ,1, , , , , ,2, 
ROR_45, , ,1, ,1, ,1, , , , , , , , , , , , , , , ,3, 
ROR_44, ,1, , , , , ,1,1, ,1, , , , ,1,1, , , , , ,6, 
ROR_41, , ,1,1,1, ,1,1,1, ,1,1,1, , ,1, , , , , ,1,11, 
ROR_40, ,1,1,1,1, ,1,1,1, ,1,1,1, , ,1,1, , , , ,1,13, 
LOI_9, ,1, , , , , , , , ,1, ,1, , , , , , , , , ,3, 
ROR_36, ,1, , ,1, , ,1, , ,1, ,1, , , ,1, , , , ,1,7, 
SDL_11, , , , , , , ,1,1, , , , , , , , , , , , , ,2, 
ROR_35, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
SDL_12, , ,1, ,1,1,1, , ,1,1, ,1, , , ,1, , , , ,1,9, 
ROR_38, ,1,1,1, , ,1, ,1, , ,1, , , ,1,1, , , , , ,8, 
SDL_13, , , , , , , , , , ,1, , , , ,1, , , , , , ,2, 
ROR_37, , , , ,1, , ,1, , ,1, ,1, , , , , , , , ,1,5, 
SDL_14, , ,1,1,1,1,1, ,1,1, ,1, , , , ,1, , , , , ,9, 
ROR_32, , ,1,1,1, , , ,1, , ,1, , , , ,1, , , , , ,6, 
ROR_31, , ,1,1,1, , , ,1, ,1,1, , , ,1,1, , , , , ,8, 
