Mutant,test12,test05,test04,test03,test02,test01,test00,test11,test10,test09,test08,test07,test06,Total,Equiv?
COI_6, , , , , , , , ,1, , , , ,1, 
COI_9, , , , , , , , , , , , , ,0, 
COI_8, , , , , , , , , , , , , ,0, 
COI_3, , , , , ,1, , , , , ,1, ,2, 
COI_2, , , , , ,1,1, ,1,1, , , ,4, 
COI_5, , , , , , , , ,1, , , , ,1, 
VDL_14,1,1,1,1,1,1,1,1,1,1,1,1,1,13, 
COI_4, , , , , , , , , , , , , ,0, 
ODL_42, , , , , , , , , , , , , ,0, 
LOI_40, ,1, , , , , , , , , , , ,1, 
COI_1, , , , ,1,1,1,1,1,1, ,1, ,7, 
LOI_41, ,1, , , , , , , , , , , ,1, 
LOI_29, ,1, , , , , , , , ,1, , ,2, 
LOI_36, , , , , , , , , , ,1, , ,1, 
LOI_37, , , , , , , , , , ,1, , ,1, 
LOI_38, , , , , , , , , , ,1, , ,1, 
LOI_39, ,1, , , , , , , , , , , ,1, 
LOI_32, , , , , , , , , , , ,1, ,1, 
LOI_35, ,1, , , , , , , , ,1,1, ,3, 
LOI_30, , , , , , , , , , , , , ,0, 
VDL_32,1,1,1,1,1,1,1,1,1,1,1,1,1,13, 
COR_6, , , , , , , , , , ,1, , ,1, 
COR_8, ,1, , , , , , , , , , , ,1, 
COR_7, , , , , , , , , , , , , ,0, 
COR_2, , , , , , , , , , , , , ,0, 
COR_4, , , , , , , , , , , , , ,0, 
COR_3, ,1, , , , , , , , , , , ,1, 
ODL_60, , , , , , , , , , , , , ,0, 
ODL_62, , , , , , , , , , , , , ,0, 
VDL_21, , , , , , , , , , , ,1, ,1, 
VDL_28, , , , , , , , , , , , , ,0, 
AOIU_3, , , , ,1, , , , , , ,1, ,2, 
AOIU_4, , , , , , , , , , , , , ,0, 
AOIU_1, , , , , , ,1, , , , , , ,1, 
AOIU_2, , , , , , , , , , , , , ,0, 
AOIU_9, , , , , , , , ,1,1, , , ,2, 
AOIU_7, , , , , , , , , , , , , ,0, 
ODL_52, , , , , , , , , , , , , ,0, 
AOIU_8, , , , , , , , , ,1, , , ,1, 
ODL_51, , , , , , , , , , , , , ,0, 
ODL_54, , , , , , , , , , , , , ,0, 
AOIU_5, , , , , , , , , , , , , ,0, 
AOIU_6, , , , , , , , , ,1, , , ,1, 
ODL_53, , , , , , , , , , , , , ,0, 
AORB_3, , , , , , , , , , , , , ,0, 
AORB_4, , , , , , , , , , , , , ,0, 
AORB_2, , , , , , , , , , , , , ,0, 
AORB_7, , , , , , , , , , , , , ,0, 
ODL_59, , , , , , , , , , , , , ,0, 
AORB_8, , , , , , , , , , , , , ,0, 
AORB_5, , , , , , , , , , , , , ,0, 
