Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Bisect;AOIS_449;Nonequivalent;Nonequivalent;AOIS;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.7236842105263158;0.062;0.293;0.293
Bisect;AOIS_275;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;AOIS_737;Nonequivalent;Nonequivalent;AOIS;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.7236842105263158;0.026;0.0;0.0
Bisect;SVR_1;Nonequivalent;Nonequivalent;SVR;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;1.0;0.086;0.293;0.0
Bisect;ADL_28;Nonequivalent;Nonequivalent;ADL;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;Assignment;1.0;1.0;0.026;0.0;0.0
Bisect;AOIU_25;Nonequivalent;Nonequivalent;AOIU;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;0.5625;0.026;0.0;0.0
Bisect;AORB_468;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.65625;0.062;0.293;0.293
Bisect;VDL_36;Nonequivalent;Nonequivalent;VDL;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;While;1.0;0.8;0.026;0.0;0.0
Bisect;ADL_12;Nonequivalent;Nonequivalent;ADL;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;Assignment;0.7419354838709677;1.0;0.062;0.293;0.293
Bisect;AOIS_629;Nonequivalent;Nonequivalent;AOIS;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.7236842105263158;0.062;0.293;0.293
Bisect;AORB_409;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.65625;0.062;0.293;0.293
Bisect;AORB_448;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Assignment;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;AORB_37;Nonequivalent;Nonequivalent;AORB;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.65625;0.27;0.0;0.0
Bisect;AORB_3;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[3, 7, 7, 8];3;8;6.25;[3];3;3;3.0;[3];[7];[1];[1];45;Block;0.6206896551724138;0.65625;0.086;0.293;0.0
Bisect;SVR_59;Nonequivalent;Nonequivalent;SVR;1;0;0;0;0;0;[0];0;0;0.0;[6, 7, 6, 2];2;7;5.25;[];[2];[];[0];55;If;1.0;1.0;0.026;0.0;0.0
Bisect;AOIS_280;Nonequivalent;Nonequivalent;AOIS;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.7236842105263158;0.062;0.293;0.293
Bisect;AORB_171;Nonequivalent;Nonequivalent;AORB;2;0;0;0;0;0;[1, 5, 5, 6];1;6;4.25;[5, 6, 5, 1];1;6;4.25;[1, 7];[3, 8];[0, 1];[1, 0];16;Assignment;0.6666666666666666;0.65625;0.27;0.0;0.0
Bisect;AORB_126;Nonequivalent;Nonequivalent;AORB;6;0;1;0;1;0;[4, 8, 8, 9];4;9;7.25;[3];3;3;3.0;[5];[7];[1];[1];30;If;0.7419354838709677;0.65625;0.062;0.293;0.293
