mutant name, is equivalent?, distinguished by
AOIS_16, 1, -
AOIS_168, 1, -
AOIS_194, 0, [V=1/4]
AOIS_27, 1, -
AOIS_274, 0, [V=1/4]
AOIS_30, 0, [V=63/256]
AOIS_340, 1, -
AOIS_35, 1, -
AOIS_36, 1, -
AOIS_39, 1, -
AOIS_40, 1, -
AOIS_41, 1, -
AOIS_43, 1, -
AOIS_433, 1, -
AOIS_44, 1, -
AOIS_449, 1, -
AOIS_48, 1, -
AOIS_50, 1, -
AOIS_500, 1, -
AOIS_506, 1, -
AOIS_54, 1, -
AOIS_55, 1, -
AOIS_6, 0, [V=-1/128]
AOIS_625, 1, -
AOIS_67, 1, -
AOIS_69, 1, -
AOIS_70, 1, -
AOIS_746, 1, -
AOIS_75, 1, -
AOIS_752, 0, [V=1/4]
AOIS_759, 1, -
AOIS_76, 1, -
AOIS_761, 1, -
AOIS_8, 0, [V=-1/128]
AOIU_12, 1, -
AOIU_15, 1, -
AOIU_2, 1, -
AOIU_3, 1, -
AOIU_38, 1, -
AOIS_204, 1, -
AOIS_72, 1, -
AOIS_656, 1, -
AOIS_752, 0, [V=329/32768]
AOIS_307, 1, -
AOIS_53, 1, -
AOIS_614, 1, -
AOIS_254, 0, [V=1493/128]
AOIS_752, 1, -
AOIS_254, 1, -
AOIS_204, 1, -
AOIS_72, 1, -
AOIS_656, 1, -
AOIS_752, 1, -
AOIS_307, 1, -
AOIS_53, 1, -
AOIS_614, 1, -
AOIS_254, 1, -
AOIS_204, 1, -
AOIS_72, 1, -
AOIS_656, 1, -
AOIS_752, 1, -
AOIS_307, 1, -
AOIS_53, 1, -
AOIS_614, 1, -
AOIS_254, 1, -
AOIS_16, 1, -
AOIS_168, 1, -
AOIS_194, 1, -
AOIS_27, 1, -
AOIS_274, 1, -
AOIS_30, 1, -
AOIS_340, 1, -
AOIS_35, 1, -
AOIS_36, 1, -
AOIS_39, 1, -
AOIS_40, 1, -
AOIS_41, 1, -
AOIS_43, 1, -
AOIS_433, 1, -
AOIS_44, 1, -
AOIS_449, 1, -
AOIS_48, 1, -
AOIS_50, 1, -
AOIS_500, 1, -
AOIS_506, 1, -
AOIS_54, 1, -
AOIS_55, 1, -
AOIS_6, 0, [V=-1/128]
AOIS_625, 1, -
AOIS_67, 1, -
AOIS_69, 1, -
AOIS_70, 1, -
AOIS_746, 1, -
AOIS_75, 1, -
AOIS_752, 1, -
AOIS_759, 1, -
AOIS_76, 1, -
AOIS_761, 1, -
AOIS_8, 0, [V=-1/128]
AOIU_12, 1, -
AOIU_15, 1, -
AOIU_2, 1, -
AOIU_3, 1, -
AOIU_38, 1, -
AOIU_7, 1, -
AOIU_8, 1, -
AOIU_84, 1, -
AORB_13, 0, [V=129/128]
AORB_15, 1, -
AORB_18, 0, [V=9/8;/0=[(4/9;9/8)->32/81;(1;9/8)->8/9;else->0]]
AORB_3, 0, [V=129/128]
AORB_5, 0, [V=129/128]
AORB_6, 0, [V=127/128;/0=[(16129/16384;127/128)->127/128;else->0]]
AORB_8, 0, [V=127/128]
AORB_9, 1, -
CDL_4, 1, -
ODL_11, 1, -
ODL_15, 1, -
ODL_17, 1, -
ODL_18, 1, -
ODL_2, 0, [V=9/8]
ODL_4, 0, [V=129/128]
ROR_1, 0, [V=1.0099019513?]
ROR_10, 1, -
ROR_15, 1, -
ROR_19, 1, -
ROR_408, 1, -
ROR_576, 1, -
SDL_11, 1, -
SDL_13, 1, -
SDL_3, 1, -
SDL_7, 1, -
VDL_10, 1, -
VDL_11, 0, [V=33/32]
