mutant name, is equivalent?, distinguished by
AOIS_11, 1, -
AOIS_12, 1, -
AOIS_15, 1, -
AOIS_16, 1, -
AOIS_19, 1, -
AOIS_20, 1, -
AOIS_21, 0, [V=-1;VVVV=2;VVVVV=-2;VVV=1;VV=0]
AOIS_23, 0, [V=-1;VVVV=2;VVVVV=-2;VVV=1;VV=0]
AOIS_25, 0, [V=-1;VVVV=2;VVVVV=-2;VVV=1;VV=0]
AOIS_27, 0, [V=-1;VVVV=2;VVVVV=-2;VVV=1;VV=0]
AOIS_3, 1, -
AOIS_51, 1, -
AOIS_52, 1, -
AOIS_7, 1, -
AORB_1, 0
AORB_2, 0
CDL_2, 0
ODL_4, 0
ROR_15, 0, [V=-2;VVVV=1;VVVVV=2;VVV=0;VV=-1]
ROR_17, 1, -
ROR_3, 1, -
ROR_4, 0, [V=-1;VVVV=2;VVVVV=-2;VVV=1;VV=0]
AOIS_11, 1, -
AOIS_12, 1, -
AOIS_15, 1, -
AOIS_16, 1, -
AOIS_19, 1, -
AOIS_20, 1, -
AOIS_21, 0, [V=0;VVVV=2;VVV=1;VVVVV=4;VV=3]
AOIS_23, 0, [V=0;VVVV=2;VVV=1;VVVVV=4;VV=3]
AOIS_25, 0, [V=0;VVVV=2;VVV=1;VVVVV=4;VV=3]
AOIS_27, 0, [V=0;VVVV=2;VVV=1;VVVVV=4;VV=3]
AOIS_3, 1, -
AOIS_51, 1, -
AOIS_52, 1, -
AOIS_7, 1, -
AORB_1, 0
AORB_2, 0
CDL_2, 0
ODL_4, 0
ROR_15, 0, [V=0;VVVV=1;VVV=-1;VVVVV=3;VV=2]
ROR_17, 1, -
ROR_3, 1, -
ROR_4, 0, [V=0;VVVV=1;VVV=0;VVVVV=2;VV=3]
