mutant name, is equivalent?, distinguished by
AOIS_17, 0, [VVV=500;VV=13]
AOIS_18, 0, [VVV=500;VV=13]
AOIS_19, 0, [VVV=500;VV=13]
AOIS_20, 0, [VVV=500;VV=13]
AOIS_21, 1, -
AOIS_22, 1, -
AOIS_25, 1, -
AOIS_26, 1, -
AOIS_27, 0, [VVV=-400;VV=2]
AOIS_29, 1, -
AOIS_30, 1, -
AOIS_31, 1, -
AOIS_32, 1, -
AOIS_5, 1, -
AOIS_6, 1, -
AOIS_9, 1, -
AORB_13, 0, [VVV=500;VV=13]
AORB_15, 0, [VVV=-300;VV=6]
AORB_16, 0, [VVV=-300;VV=6]
AORB_5, 0, [VVV=400;VV=4]
CDL_1, 0, [VVV=400;VV=4]
CDL_5, 0, [VVV=500;VV=13]
COR_4, 1, -
ODL_11, 0, [VVV=500;VV=13]
ODL_12, 0, [VVV=500;VV=13]
ODL_15, 0, [VVV=500;VV=13]
ODL_3, 0, [VVV=400;VV=4]
ROR_15, 1, -
ROR_16, 0, [VVV=500;VV=13]
ROR_20, 0, [VVV=500;VV=13]
ROR_23, 1, -
ROR_29, 0, [VVV=-400;VV=2]
SDL_28, 1, -
SDL_29, 1, -
SDL_30, 1, -
SDL_42, 1, -
SDL_5, 1, -
VDL_5, 0, [VVV=500;VV=13]
AOIS_1, 0, [VVV=-400;VV=2]
AOIS_10, 1, -
AOIS_17, 0, [VVV=500;VV=13]
AOIS_18, 0, [VVV=500;VV=13]
AOIS_19, 0, [VVV=500;VV=13]
AOIS_20, 0, [VVV=500;VV=13]
AOIS_20, 0, [VVV=500;VV=13]
AOIS_21, 1, -
AOIS_22, 1, -
AOIS_25, 1, -
AOIS_26, 1, -
AOIS_27, 0, [VVV=-400;VV=2]
AOIS_29, 1, -
AOIS_30, 1, -
AOIS_31, 1, -
AOIS_32, 1, -
AOIS_5, 1, -
AOIS_6, 1, -
AOIS_9, 1, -
AORB_13, 0, [VVV=500;VV=13]
AORB_15, 0, [VVV=-300;VV=6]
AORB_16, 0, [VVV=-300;VV=6]
AORB_5, 0, [VVV=400;VV=4]
CDL_1, 0, [VVV=400;VV=4]
CDL_5, 0, [VVV=500;VV=13]
COR_4, 1, -
ODL_11, 0, [VVV=500;VV=13]
ODL_12, 0, [VVV=500;VV=13]
ODL_15, 0, [VVV=500;VV=13]
ODL_3, 0, [VVV=400;VV=4]
ROR_15, 1, -
ROR_16, 0, [VVV=500;VV=13]
ROR_20, 0, [VVV=500;VV=13]
ROR_23, 1, -
ROR_29, 0, [VVV=-400;VV=2]
SDL_28, 1, -
SDL_29, 1, -
SDL_30, 1, -
SDL_42, 1, -
SDL_5, 1, -
VDL_5, 0, [VVV=500;VV=13]
AOIS_28, 0, [VVV=500;VV=13]
AOIS_28, 0, [VVV=400;VV=3]
