Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Defroster;AOIU_2;Equivalent;Equivalent;AOIU;3;0;1;1;0;1;[1];1;1;1.0;[2, 1];1;2;1.5;[1];[4, 5];[1];[1, 1];15;If;0.0;0.26666666666666666;0.148;0.414;0.0
Defroster;SDL_3;Equivalent;Equivalent;SDL;5;0;1;0;1;1;[2, 2, 3];2;3;2.3333333333333335;[0];0;0;0.0;[2, 3, 4];[];[1, 1, 1];[];2;If;0.10915934755332497;0.06796116504854369;0.434;0.0;0.707
Defroster;AOIS_4;Equivalent;Equivalent;AOIS;1;0;1;1;0;1;[0];0;0;0.0;[2, 3, 2];2;3;2.3333333333333335;[];[2, 3];[];[1, 1];15;If;0.0;0.09433962264150944;0.104;0.0;0.0
Defroster;AOIS_8;Equivalent;Equivalent;AOIS;3;0;1;1;0;1;[1];1;1;1.0;[2, 1];1;2;1.5;[1];[4, 5];[1];[1, 1];15;If;0.0;0.09433962264150944;0.148;0.414;0.0
Defroster;ROR_14;Equivalent;Equivalent;ROR;3;0;1;1;0;1;[1];1;1;1.0;[2, 1];1;2;1.5;[1];[4, 5];[1];[1, 1];15;If;0.0;0.045112781954887216;0.148;0.414;0.0
Defroster;ROR_2;Equivalent;Equivalent;ROR;1;0;1;1;0;1;[0];0;0;0.0;[2, 3, 2];2;3;2.3333333333333335;[];[2, 3];[];[1, 1];15;If;0.0;0.045112781954887216;0.104;0.0;0.0
Defroster;ROR_3;Equivalent;Equivalent;ROR;1;0;1;1;0;1;[0];0;0;0.0;[2, 3, 2];2;3;2.3333333333333335;[];[2, 3];[];[1, 1];15;If;0.0;0.045112781954887216;0.104;0.0;0.0
Defroster;AOIS_5;Equivalent;Equivalent;AOIS;3;0;1;1;0;1;[1];1;1;1.0;[2, 1];1;2;1.5;[1];[4, 5];[1];[1, 1];15;If;0.0;0.09433962264150944;0.148;0.414;0.0
Defroster;SDL_2;Equivalent;Equivalent;SDL;2;0;1;0;1;1;[1];1;1;1.0;[1];1;1;1.0;[1];[5];[1];[1];1;Assignment;0.0;0.06796116504854369;0.148;0.293;0.0
Defroster;COI_2;Equivalent;Equivalent;COI;3;0;1;1;0;1;[1];1;1;1.0;[2, 1];1;2;1.5;[1];[4, 5];[1];[1, 1];15;If;0.0;0.06666666666666667;0.148;0.414;0.0
