mutant name, is equivalent?, distinguished by
test, 1, -
test, 1, -
AODU_1, 0, [VVVVVV=1;VV=0;V=0;VVVVV=1;VVVV=1;VVVVVVVVV=1;VVVVVVV=1;VVVVVVVV=0;VVVVVVVVVVVVVVVVVV=-427;VVVVVVVVVVVVVVVVVVV=-1024;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVV=0]
AOIS_10, 0, [VVVVVV=1;VVVVVVVVVVVV=0;VV=0;VVVVV=0;VVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=993;VVV=0;VVVV=0;V=-1024;VVVVVVVVV=-1022;VVVVVVVVVVVVVVVVVVV=800;VVVVVVVV=1;VVVVVVVVVVVVVVVVVV=-769;VVVVVVVVVVVVVVV=1;VVVVVVVVVVVVVV=1]
AOIS_100, 1, -
AOIS_101, 1, -
AOIS_102, 1, -
AOIS_103, 1, -
AOIS_104, 1, -
AOIS_105, 1, -
AOIS_106, 1, -
AOIS_107, 1, -
AOIS_108, 1, -
AOIS_109, 1, -
AOIS_11, 0, [VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-1025;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVV=0]
AOIS_110, 1, -
AOIS_111, 1, -
AOIS_112, 1, -
AOIS_113, 1, -
AOIS_114, 1, -
AOIS_115, 1, -
AOIS_116, 1, -
AOIS_117, 1, -
AOIS_118, 1, -
AOIS_119, 1, -
AOIS_12, 0, [VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=-1025;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVV=0]
AOIS_120, 1, -
AOIS_121, 1, -
AOIS_122, 1, -
AOIS_123, 1, -
AOIS_124, 1, -
AOIS_125, 1, -
AOIS_126, 1, -
AOIS_127, 1, -
AOIS_128, 1, -
AOIS_129, 1, -
AOIS_13, 0, [VVVVVVVV=1;VVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=1024;VVVVVVVVVVVVVVVVVVV=0]
AOIS_130, 1, -
AOIS_131, 1, -
AOIS_132, 1, -
AOIS_133, 1, -
AOIS_134, 1, -
AOIS_135, 1, -
AOIS_136, 1, -
AOIS_137, 1, -
AOIS_138, 1, -
AOIS_139, 1, -
AOIS_14, 0, [VVVVVVVV=1;VVVVVVVVVVVV=2;VVVVVVVVVVVVVVVVVVVV=1024;VVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVVV=0]
AOIS_140, 1, -
AOIS_141, 1, -
AOIS_142, 1, -
AOIS_143, 1, -
AOIS_144, 1, -
AOIS_145, 1, -
AOIS_146, 1, -
AOIS_147, 1, -
AOIS_148, 1, -
AOIS_149, 1, -
AOIS_15, 0, [VVVVVVVVVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=0;VVVVVVVVVVVVVVVVVV=1024;VVVVVVVVVVVVVVVVVVV=0]
AOIS_150, 1, -
AOIS_151, 1, -
AOIS_152, 1, -
AOIS_153, 0, [VVVVVVVVVVVV=1;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVVV=1;VVVVVVVVVVVVVVVVVV=1024;VVVVVVVVVVVVVVVVVVV=0]
AOIS_154, 0, [VVVVVVVVV=0;VVVVVVV=0;VVVVVV=0;VV=0;VVVVVVVV=1;VVVVVVVVVVVVVVVVVVV=-660;VVVVVVVVVVVV=-2048;VVVVVVVVVVVVVVVVVV=-1645;VVVVVVVVVVVVVVVVVVVV=-2010]
