mutant name, is equivalent?, distinguished by
AOIS_11, 1, -
AOIS_12, 1, -
AOIS_25, 0, [V=7]
AOIS_31, 1, -
AOIS_32, 1, -
AOIS_35, 1, -
AOIS_36, 1, -
AOIS_47, 1, -
AOIS_48, 1, -
AOIS_50, 0, [V=-15]
AOIS_51, 1, -
AOIS_52, 1, -
AOIS_6, 0, [V=27]
AOIS_7, 1, -
AOIS_8, 1, -
AOIU_13, 0, [V=-15]
AOIU_4, 1, -
AOIS_11, 1, -
AOIS_12, 1, -
AOIS_25, 0, [V=7]
AOIS_31, 1, -
AOIS_32, 1, -
AOIS_35, 1, -
AOIS_36, 1, -
AOIS_47, 1, -
AOIS_48, 1, -
AOIS_50, 0, [V=-15]
AOIS_51, 1, -
AOIS_52, 1, -
AOIS_6, 0, [V=27]
AOIS_7, 1, -
AOIS_8, 1, -
AOIU_13, 0, [V=-15]
AOIU_4, 1, -
AOIU_6, 0, [V=-15]
AOIU_6, 0, [V=-15]
LOI_17, 0, [V=-15]
LOI_4, 1, -
ROR_10, 1, -
ROR_12, 1, -
ROR_13, 1, -
ROR_15, 1, -
ROR_18, 0, [V=0]
ROR_26, 1, -
SDL_12, 0, [V=-15]
SDL_16, 0, [V=-15]
