mutant name, is equivalent?, distinguished by
AOIS_244, 0, [VV=0;V=0]
AOIS_244, 0, [VV=0;V=0]
AOIS_244, 0, [VV=0;V=0]
AOIS_245, 0, [VV=1;V=0]
AOIS_247, 1, -
AOIS_248, 1, -
AOIS_249, 1, -
AOIS_250, 1, -
AOIS_251, 0, [VV=1;V=0]
AOIS_252, 0, [VV=0;V=0]
AOIS_253, 1, -
AOIS_254, 1, -
AOIS_255, 0, [VV=0;V=0]
AOIS_256, 0, [VV=0;V=0]
AOIS_257, 1, -
AOIS_258, 1, -
COI_28, 0, [VV=1;V=0]
COI_29, 0, []
COI_30, 0, []
COR_11, 1, -
COR_12, 1, -
COR_13, 0, [VV=0;V=0]
COR_14, 1, -
ODL_90, 1, -
ODL_91, 1, -
ROR_157, 0, [VV=0;V=0]
ROR_159, 0, []
ROR_160, 0, [VV=1;V=0]
AOIU_69, 0, [V=1]
AOIU_69, 0, [V=1]
AOIU_188, 0, [V=0]
AOIS_299, 0, [V=2]
AODU_7, 0, [V=0]
AOIS_575, 0
AOIS_738, 0
AOIS_575, 0
AOIU_207, 1, -
AOIU_69, 0, [V=1]
AOIU_70, 1, -
AOIU_71, 0, [V=0]
AOIU_69, 0, [V=1]
AOIU_70, 1, -
AOIU_71, 0, [V=0]
AOIU_72, 0, [V=-1]
COI_53, 0, []
LOI_118, 1, -
LOI_119, 0, [V=-1]
LOI_120, 0, [V=0]
LOI_121, 0, [V=-1]
ROR_285, 0, [V=0]
ROR_286, 0, []
ROR_287, 0, [V=1]
ROR_288, 0, [V=1]
ROR_289, 0, [V=0]
ROR_290, 0, [V=-1]
ROR_291, 0, [V=0]
AOIU_188, 1, -
AOIU_189, 1, -
AOIU_190, 1, -
AOIU_191, 0, [V=1]
AOIU_192, 1, -
AOIU_193, 0, [V=1]
AOIU_194, 0, [V=-1]
COI_84, 0, []
COI_85, 0, [V=-1]
LOI_275, 0, [V=0]
LOI_276, 1, -
LOI_277, 1, -
LOI_278, 0, [V=1]
LOI_279, 0, [V=-1]
ROR_488, 0, [V=0]
ROR_489, 0, [V=1]
ROR_490, 0, [V=0]
ROR_491, 0, [V=-1]
ROR_492, 0, []
ROR_493, 0, [V=-1]
ROR_494, 0, [V=0]
ROR_495, 1, -
ROR_496, 0, [V=1]
ROR_499, 0, [V=-1]
ROR_500, 0, [V=-1]
ROR_501, 0, [V=1]
AOIU_81, 0, []
AOIU_83, 0, [V=1]
AOIU_84, 0, [V=0]
LOI_131, 0, [V=-1]
LOI_133, 0, [V=-1]
ROR_320, 0, [V=0]
ROR_321, 0, [V=0]
ROR_324, 0, [V=-1]
ROR_325, 0, [V=-1]
SDL_122, 0, [V=-1]
AOIU_207, 1, -
AOIU_208, 1, -
AOIU_209, 1, -
AOIU_212, 0, [V=1]
COI_94, 0, []
COI_95, 0, [V=-1]
LOI_292, 1, -
LOI_294, 0, [V=0]
LOI_297, 0, [V=1]
LOI_298, 0, [V=-1]
ROR_559, 0, [V=1]
ROR_560, 0, [V=0]
ROR_561, 0, [V=-1]
ROR_562, 0, []
ROR_563, 0, [V=-1]
ROR_564, 0, [V=0]
ROR_567, 0, [V=-1]
ROR_568, 0, [V=1]
ROR_569, 0, [V=-1]
ROR_571, 0, [V=1]
AODU_15, 0, [V=-1]
AOIU_205, 1, -
AOIU_206, 0, [V=1]
COI_92, 0, []
COI_93, 0, [V=-1]
LOI_291, 1, -
ODL_352, 0, [V=-1]
ROR_544, 0, [V=0]
ROR_546, 0, [V=0]
ROR_547, 0, [V=-1]
ROR_548, 0, []
ROR_551, 1, -
ROR_552, 0, [V=1]
ROR_553, 0, [V=-1]
ROR_554, 0, [V=1]
ROR_556, 0, [V=-1]
ROR_557, 0, [V=1]
AOIU_80, 0, []
COI_57, 0, [V=0]
LOI_129, 0, [V=0;/0=[else->-1]]
ROR_313, 0, [V=0]
ROR_315, 0, []
ROR_316, 0, [V=0]
ROR_318, 0, [V=-1]
SDL_121, 0, [V=-1]
AODU_14, 0, [V=-1]
AOIU_203, 1, -
COI_90, 0, []
COI_91, 0, [V=-1]
LOI_288, 1, -
LOI_289, 1, -
ROR_530, 0, [V=0]
ROR_531, 0, [V=1]
ROR_532, 0, [V=0]
ROR_533, 0, [V=-1]
ROR_534, 0, []
ROR_535, 0, [V=-1]
ROR_536, 0, [V=0]
ROR_537, 1, -
ROR_538, 0, [V=1]
ROR_539, 0, [V=-1]
ROR_540, 0, [V=1]
ROR_541, 0, [V=-1]
ROR_542, 0, [V=-1]
ROR_543, 0, [V=1]
SDL_217, 0, [V=-1]
AODU_9, 0, [V=0]
AOIU_79, 0, []
LOI_128, 0, [V=0;/0=[else->-1]]
ODL_194, 0, [V=0]
ROR_306, 0, [V=0]
ROR_307, 0, [V=0]
ROR_308, 0, []
ROR_309, 0, [V=0]
ROR_311, 0, [V=-1]
ROR_312, 0, [V=0]
SDL_120, 0, [V=-1]
