Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Profit;AOIU_2;Nonequivalent;Nonequivalent;AOIU;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.75;0.053;0.0;0.0
Profit;AORB_151;Nonequivalent;Nonequivalent;AORB;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.6739130434782609;0.063;0.0;0.0
Profit;AORB_17;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_84;Nonequivalent;Nonequivalent;ODL;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.6739130434782609;0.063;0.0;0.0
Profit;AORB_21;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_3;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_14;Nonequivalent;Nonequivalent;ROR;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;If;0.9763779527559056;0.6857142857142857;0.053;0.0;0.0
Profit;ODL_10;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_11;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_36;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_2;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_20;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AOIS_37;Nonequivalent;Nonequivalent;AOIS;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.48484848484848486;0.063;0.0;0.0
Profit;AOIS_5;Nonequivalent;Nonequivalent;AOIS;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.48484848484848486;0.053;0.0;0.0
Profit;CDL_1;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_150;Nonequivalent;Nonequivalent;AORB;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.6739130434782609;0.063;0.0;0.0
Profit;AOIU_8;Nonequivalent;Nonequivalent;AOIU;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.75;0.063;0.0;0.0
Profit;ODL_1;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_27;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;VDL_10;Nonequivalent;Nonequivalent;VDL;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.5454545454545454;0.063;0.0;0.0
Profit;AORB_31;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_28;Nonequivalent;Nonequivalent;ROR;6;0;1;0;1;0;[3];3;3;3.0;[1];1;1;1.0;[5];[12];[1];[0];3;If;0.9230769230769231;0.6857142857142857;0.063;0.167;0.0
Profit;CDL_10;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_16;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_4;Nonequivalent;Nonequivalent;ROR;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[12];[1];[0];2;If;0.3793103448275862;0.6857142857142857;0.053;0.167;0.0
Profit;AOIU_4;Nonequivalent;Nonequivalent;AOIU;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.75;0.06;0.167;0.0
Profit;ROR_24;Nonequivalent;Nonequivalent;ROR;6;0;1;0;1;0;[3];3;3;3.0;[1];1;1;1.0;[5];[12];[1];[0];3;If;0.9230769230769231;0.6857142857142857;0.063;0.167;0.0
Profit;CDL_7;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_101;Nonequivalent;Nonequivalent;AORB;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.6739130434782609;0.053;0.0;0.0
Profit;ROR_25;Nonequivalent;Nonequivalent;ROR;6;0;1;0;1;0;[3];3;3;3.0;[1];1;1;1.0;[5];[12];[1];[0];3;If;0.9230769230769231;0.6857142857142857;0.063;0.167;0.0
Profit;ODL_60;Nonequivalent;Nonequivalent;ODL;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;AORB_117;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;ODL_17;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;CDL_11;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_4;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_30;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_26;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;VDL_11;Nonequivalent;Nonequivalent;VDL;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.5454545454545454;0.063;0.0;0.0
Profit;ODL_14;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_10;Nonequivalent;Nonequivalent;ROR;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;If;0.9763779527559056;0.6857142857142857;0.053;0.0;0.0
Profit;CDL_12;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;VDL_5;Nonequivalent;Nonequivalent;VDL;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.5454545454545454;0.06;0.167;0.0
Profit;CDL_8;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_33;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_79;Nonequivalent;Nonequivalent;ODL;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.6739130434782609;0.063;0.0;0.0
Profit;AORB_25;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_80;Nonequivalent;Nonequivalent;ODL;7;0;1;1;0;0;[3];3;3;3.0;[2, 3, 3];2;3;2.6666666666666665;[5];[8, 9];[1];[1, 1];11;Assignment;0.8947368421052632;0.6739130434782609;0.063;0.0;0.0
Profit;AORB_118;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;ODL_18;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_59;Nonequivalent;Nonequivalent;ODL;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;AORB_102;Nonequivalent;Nonequivalent;AORB;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.6739130434782609;0.053;0.0;0.0
Profit;CDL_32;Nonequivalent;Nonequivalent;CDL;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.6739130434782609;0.053;0.0;0.0
Profit;AORB_29;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_31;Nonequivalent;Nonequivalent;ROR;8;0;1;0;1;0;[4];4;4;4.0;[1];1;1;1.0;[7];[12];[1];[0];1;If;0.19607843137254902;0.6857142857142857;0.064;0.167;0.0
Profit;AORB_28;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_103;Nonequivalent;Nonequivalent;AORB;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.6739130434782609;0.053;0.0;0.0
Profit;ODL_58;Nonequivalent;Nonequivalent;ODL;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;AORB_119;Nonequivalent;Nonequivalent;AORB;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.6739130434782609;0.06;0.167;0.0
Profit;ODL_2;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AOIS_13;Nonequivalent;Nonequivalent;AOIS;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.48484848484848486;0.06;0.167;0.0
Profit;AORB_24;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;AORB_32;Nonequivalent;Nonequivalent;AORB;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_54;Nonequivalent;Nonequivalent;ODL;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.6739130434782609;0.053;0.0;0.0
Profit;VDL_4;Nonequivalent;Nonequivalent;VDL;4;0;1;0;1;0;[2];2;2;2.0;[1];1;1;1.0;[3];[12];[1];[0];12;Assignment;0.0;0.5454545454545454;0.06;0.167;0.0
Profit;CDL_9;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ODL_15;Nonequivalent;Nonequivalent;ODL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
Profit;ROR_11;Nonequivalent;Nonequivalent;ROR;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;If;0.9763779527559056;0.6857142857142857;0.053;0.0;0.0
Profit;ROR_7;Nonequivalent;Nonequivalent;ROR;2;0;1;0;1;0;[1];1;1;1.0;[1];1;1;1.0;[1];[12];[1];[0];2;If;0.3793103448275862;0.6857142857142857;0.053;0.167;0.0
Profit;AOIS_6;Nonequivalent;Nonequivalent;AOIS;3;0;1;1;0;0;[1];1;1;1.0;[2, 3, 4, 5, 5];2;5;3.8;[1];[4, 5];[1];[1, 1];14;Assignment;0.9763779527559056;0.48484848484848486;0.053;0.0;0.0
Profit;CDL_2;Nonequivalent;Nonequivalent;CDL;1;0;1;1;1;0;[0];0;0;0.0;[2, 3, 4, 5, 6, 6];2;6;4.333333333333333;[];[2, 3];[];[1, 1];44;Assignment;0.0;0.6739130434782609;0.037;0.0;0.0
