mutant name, is equivalent?, distinguished by
AOIS_13, 0, [V=100001]
AOIS_14, 0, [V=100001]
AOIS_15, 1, -
AOIS_16, 1, -
AOIS_17, 1, -
AOIS_18, 1, -
AOIS_19, 1, -
AOIS_20, 1, -
AOIS_27, 1, -
AOIS_28, 1, -
AOIS_31, 1, -
AOIS_32, 1, -
AOIS_37, 0, [V=400001]
AOIS_38, 0, [V=400001]
AOIS_39, 1, -
AOIS_40, 1, -
AOIS_41, 1, -
AOIS_42, 1, -
AOIS_43, 1, -
AOIS_44, 1, -
AOIS_5, 0, [V=0]
AOIS_51, 1, -
AOIS_52, 1, -
AOIS_55, 1, -
AOIS_56, 1, -
AOIS_59, 1, -
AOIS_6, 0, [V=0]
AOIS_60, 1, -
AOIS_63, 1, -
AOIS_64, 1, -
AOIS_65, 1, -
AOIS_66, 1, -
AOIS_7, 1, -
AOIS_8, 1, -
AOIU_2, 0, [V=-1]
AOIU_4, 0, [V=100001]
AOIU_8, 0, [V=400001]
AORB_1, 0, [V=100001]
AORB_101, 0, [V=-1]
AORB_102, 0, [V=-10;mod0=[else->0]]
AORB_103, 0, [V=-10/9]
AORB_104, 0, [V=0]
AORB_105, 1, -
AORB_106, 1, -
AORB_107, 1, -
AORB_108, 1, -
AORB_109, 1, -
AORB_110, 1, -
AORB_111, 1, -
AORB_112, 1, -
AORB_113, 1, -
AORB_114, 1, -
AORB_115, 1, -
AORB_116, 1, -
AORB_120, 1, -
AORB_137, 1, -
AORB_138, 1, -
AORB_139, 1, -
AORB_140, 1, -
AORB_141, 1, -
AORB_142, 1, -
AORB_143, 1, -
AORB_144, 1, -
AORB_145, 1, -
AORB_146, 1, -
AORB_147, 1, -
AORB_148, 1, -
AORB_152, 1, -
AORB_17, 0, [V=400001]
AORB_18, 0, [V=400001]
AORB_19, 0, [V=400001]
AORB_2, 0, [V=100001]
AORB_20, 0, [V=400001]
AORB_21, 0, [V=400001]
AORB_22, 0, [V=400001]
AORB_23, 0, [V=400001]
AORB_24, 0, [V=400001]
AORB_26, 0, [V=400001]
AORB_27, 0, [V=400001]
AORB_28, 0, [V=400001]
AORB_29, 0, [V=400001]
AORB_3, 0, [V=100001]
AORB_30, 0, [V=400001]
AORB_31, 0, [V=400001]
AORB_32, 0, [V=400001]
AORB_34, 0, [V=400001]
AORB_35, 0, [V=400001]
AORB_36, 0, [V=400001]
AORB_4, 0, [V=100001]
CDL_1, 0, [V=100001]
CDL_10, 0, [V=400001]
CDL_11, 0, [V=400001]
CDL_12, 0, [V=400001]
CDL_2, 0, [V=100001]
CDL_32, 0, [V=-1]
CDL_34, 1, -
CDL_35, 1, -
CDL_36, 1, -
CDL_42, 1, -
CDL_43, 1, -
CDL_44, 1, -
CDL_7, 0, [V=400001]
CDL_8, 0, [V=400001]
CDL_9, 0, [V=400001]
ODL_1, 0, [V=100001]
ODL_10, 0, [V=400001]
ODL_11, 0, [V=400001]
ODL_12, 0, [V=400001]
ODL_13, 0, [V=400001]
ODL_14, 0, [V=400001]
ODL_15, 0, [V=400001]
ODL_16, 0, [V=400001]
ODL_17, 0, [V=400001]
ODL_18, 0, [V=400001]
ODL_2, 0, [V=100001]
ODL_53, 0, [V=-1]
ODL_54, 0, [V=0]
ODL_57, 1, -
ODL_58, 0, [V=100001]
ODL_59, 0, [V=100001]
ODL_60, 0, [V=100001]
ODL_61, 1, -
ODL_62, 1, -
ODL_63, 1, -
ODL_64, 0, [V=100001]
ODL_77, 1, -
ODL_78, 0, [V=400001]
ODL_79, 0, [V=400001]
ODL_80, 0, [V=400001]
ODL_81, 1, -
ODL_82, 1, -
ODL_83, 1, -
ODL_84, 0, [V=400001]
ODL_9, 0, [V=400001]
ROR_10, 0, [V=200000]
ROR_11, 0, [V=100001]
ROR_14, 0, [V=100001]
ROR_17, 0, [V=400000]
ROR_24, 0, [V=600000]
ROR_25, 0, [V=400001]
ROR_28, 0, [V=400001]
ROR_3, 1, -
ROR_31, 0, [V=1000000]
ROR_4, 0, [V=0]
ROR_7, 0, [V=0]
VDL_10, 0, [V=400001]
VDL_11, 0, [V=400001]
VDL_2, 0, [V=0]
VDL_4, 0, [V=100001]
VDL_5, 0, [V=100001]
