mutant name, is equivalent?, distinguished by
ABS_116, 1, -
ABS_130, 1, -
ABS_131, 1, -
ABS_135, 1, -
ABS_157, 1, -
ABS_22, 1, -
ABS_4, 1, -
ABS_67, 0, [V=-1]
ABS_68, 1, -
ABS_75, 1, -
ABS_77, 1, -
ABS_99, 1, -
AOIS_137, 1, -
AOIS_15, 1, -
AOIS_2, 1, -
AOIS_208, 1, -
AOIS_224, 1, -
AOIS_23, 1, -
AOIS_254, 1, -
AOIS_283, 1, -
AOIS_285, 1, -
AOIS_385, 1, -
AOIS_409, 1, -
AOIS_444, 1, -
AOIS_449, 1, -
AOIS_477, 1, -
AOIS_498, 1, -
AOIS_507, 1, -
AOIS_518, 1, -
AOIS_529, 1, -
AOIS_608, 1, -
AOIS_637, 1, -
AOIS_662, 1, -
AOIS_686, 1, -
AOIS_689, 1, -
AOIS_74, 1, -
AORB_207, 1, -
AORB_209, 1, -
AORB_289, 1, -
AORB_342, 1, -
AORB_427, 1, -
ROR_166, 0, [V=600000]
ROR_17, 0, [V=400000]
ROR_251, 1, -
ROR_298, 0, [V=200000]
ROR_715, 0, [V=1000000]
