Program Name;Mutant Name;Result;Status;Operator;Program Graph Node;Primitive Arc?;Source Primitive Arc?;Target Primitive Arc?;Equivalent?;Distance Begin;Distance Begin (min);Distance Begin (max);Distance Begin (avg);Distance End;Distance End (min);Distance End (max);Distance End (avg);Source Node;Target Node;Sources Nodes are primitive?;Targets Nodes are primitive?;Complexity;Type Statement;PS;OS;pageRank;hub;authority
Triangle;ROR_729;Nonequivalent;Nonequivalent;ROR;6;0;1;1;1;0;[4];4;4;4.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7];5;13;9.5;[5];[7];[1];[1];127;If;0.6666666666666666;0.9243697478991597;0.024;0.0;0.0
Triangle;ROR_115;Nonequivalent;Nonequivalent;ROR;27;0;1;0;1;0;[12, 13, 13, 14, 13, 14, 14, 15, 13, 14, 14, 15, 14, 15, 15, 16, 13, 14, 14, 15, 14, 15, 15, 16, 14, 15, 15, 16, 15, 16, 16, 17];12;17;14.5;[0];0;0;0.0;[26];[];[1];[];17;If;0.6041666666666666;0.9243697478991597;0.028;0.0;0.0
Triangle;AORB_110;Nonequivalent;Nonequivalent;AORB;4;0;1;1;1;0;[1, 2, 3];1;3;2.0;[0];0;0;0.0;[1, 2, 3];[];[1, 1, 1];[];52;Assignment;0.86;0.9444444444444444;0.038;0.0;0.25
Triangle;SVR_43;Nonequivalent;Nonequivalent;SVR;5;0;1;1;1;0;[3];3;3;3.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 11, 12, 12, 12, 13, 13, 11, 12, 13, 13, 13, 14, 14, 12, 10, 8, 10, 10, 9, 8];5;14;10.0;[3];[7, 6];[1];[1, 1];30;Assignment;1.0;1.0;0.024;0.0;0.083
Triangle;COI_54;Nonequivalent;Nonequivalent;COI;4;0;1;1;1;0;[1, 2, 3];1;3;2.0;[0];0;0;0.0;[1, 2, 3];[];[1, 1, 1];[];52;If;0.86;1.0;0.038;0.0;0.25
Triangle;ROR_142;Nonequivalent;Nonequivalent;ROR;1;0;1;1;1;0;[0];0;0;0.0;[11, 12, 12, 12, 13, 13, 11, 12, 13, 13, 13, 14, 14, 12, 10, 8, 10, 10, 9, 8, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 12, 13, 13, 13, 14, 14, 12, 13, 14, 14, 14, 15, 15, 13, 11, 9, 11, 11, 10, 9, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 13, 14, 14, 14, 15, 15, 13, 14, 15, 15, 15, 16, 16, 14, 12, 10, 12, 12, 11, 10, 14, 15, 15, 15, 16, 16, 14, 15, 16, 16, 16, 17, 17, 15, 13, 11, 13, 13, 12, 11, 3, 2, 1];1;17;12.797546012269938;[];[2, 4];[];[1, 1];36;If;1.0;0.9243697478991597;0.014;0.167;0.0
Triangle;AORB_297;Nonequivalent;Nonequivalent;AORB;6;0;1;1;1;0;[4];4;4;4.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7];5;13;9.5;[5];[7];[1];[1];127;If;0.6666666666666666;0.9444444444444444;0.024;0.0;0.0
Triangle;AORB_278;Nonequivalent;Nonequivalent;AORB;5;0;1;1;1;0;[3];3;3;3.0;[8, 9, 9, 9, 10, 10, 8, 9, 10, 10, 10, 11, 11, 9, 7, 5, 7, 7, 6, 5, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 9, 10, 10, 10, 11, 11, 9, 10, 11, 11, 11, 12, 12, 10, 8, 6, 8, 8, 7, 6, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 10, 11, 11, 11, 12, 12, 10, 11, 12, 12, 12, 13, 13, 11, 9, 7, 9, 9, 8, 7, 11, 12, 12, 12, 13, 13, 11, 12, 13, 13, 13, 14, 14, 12, 10, 8, 10, 10, 9, 8];5;14;10.0;[3];[7, 6];[1];[1, 1];30;Assignment;1.0;0.9444444444444444;0.024;0.0;0.083
Triangle;ROR_504;Nonequivalent;Nonequivalent;ROR;16;0;1;0;1;0;[10, 11, 11, 12, 11, 12, 12, 13];10;13;11.5;[0];0;0;0.0;[14];[];[1];[];113;If;1.0;0.9243697478991597;0.026;0.0;0.083
Triangle;AOIS_664;Nonequivalent;Nonequivalent;AOIS;4;0;1;1;1;0;[1, 2, 3];1;3;2.0;[0];0;0;0.0;[1, 2, 3];[];[1, 1, 1];[];52;If;0.86;0.6328125;0.038;0.0;0.25
