mutant name, is equivalent?, distinguished by
AOIS_100, 1, -
AOIS_106, 0, [V=2;VVV=2;VV=3]
AOIS_107, 1, -
AOIS_108, 1, -
AOIS_110, 0, [V=2;VVV=2;VV=3]
AOIS_111, 1, -
AOIS_112, 1, -
AOIS_113, 1, -
AOIS_114, 1, -
AOIS_117, 1, -
AOIS_118, 1, -
AOIS_119, 0, [V=2;VVV=1;VV=1]
AOIS_120, 0, [V=3;VVV=2;VV=2]
AOIS_121, 1, -
AOIS_122, 1, -
AOIS_123, 0, [V=2;VVV=1;VV=1]
AOIS_124, 0, [V=3;VVV=2;VV=2]
AOIS_125, 1, -
AOIS_126, 1, -
AOIS_127, 1, -
AOIS_128, 1, -
AOIS_23, 1, -
AOIS_24, 1, -
AOIS_35, 1, -
AOIS_36, 1, -
AOIS_47, 1, -
AOIS_48, 1, -
AOIS_61, 0, [V=4;VVV=2;VV=1]
AOIS_66, 0, [V=4;VVV=2;VV=1]
AOIS_67, 0, [V=4;VVV=2;VV=1]
AOIS_69, 0, [V=4;VVV=2;VV=1]
AOIS_71, 0, [V=4;VVV=2;VV=1]
AOIS_73, 0, [V=4;VVV=2;VV=1]
AOIS_75, 1, -
AOIS_76, 1, -
AOIS_77, 0, [V=4;VVV=2;VV=1]
AOIS_79, 1, -
AOIS_80, 1, -
AOIS_81, 1, -
AOIS_82, 1, -
AOIS_92, 0, [V=2;VVV=3;VV=2]
AOIS_93, 1, -
AOIS_94, 1, -
AOIS_96, 0, [V=2;VVV=3;VV=2]
AOIS_97, 1, -
AOIS_98, 1, -
AOIS_99, 1, -
AOIU_10, 1, -
AOIU_3, 1, -
AOIU_6, 1, -
AORB_29, 0, [VV=7;V=3;VVV=3]
AORB_33, 0, [VV=3;V=6;VVV=3]
COR_2, 1, -
COR_6, 1, -
COR_8, 1, -
ODL_14, 1, -
ODL_18, 1, -
ODL_45, 0, [V=2;VVV=3;VV=2]
ODL_46, 0, [V=2;VVV=3;VV=2]
ODL_5, 0, [V=1;VVV=1;VV=-1]
ODL_53, 0, [V=2;VVV=2;VV=3]
ODL_54, 0, [V=2;VVV=2;VV=3]
ODL_61, 0, [V=3;VVV=2;VV=2]
ODL_62, 0, [V=3;VVV=2;VV=2]
ROR_10, 0, [V=1;VVV=1;VV=0]
ROR_107, 1, -
ROR_11, 0, [V=1;VVV=1;VV=-1]
ROR_113, 0, [V=2;VVV=1;VV=1]
ROR_14, 0, [V=1;VVV=1;VV=-1]
ROR_18, 0, [V=1;VVV=-1;VV=1]
ROR_4, 0, [V=-1;VVV=1;VV=1]
ROR_46, 1, -
ROR_81, 1, -
VDL_25, 0, [V=2;VVV=3;VV=2]
VDL_26, 0, [V=2;VVV=3;VV=2]
VDL_29, 0, [V=2;VVV=2;VV=3]
VDL_30, 0, [V=2;VVV=2;VV=3]
VDL_33, 0, [V=3;VVV=2;VV=2]
VDL_34, 0, [V=3;VVV=2;VV=2]
VDL_6, 1, -
VDL_9, 1, -
